"CHILDID","mm1","mm2","mm3","w1","w2","w3","POST","cons","Mob","PRE","RET","wM","wPRE","wRET"
"0216016C",243,1809,0,0.5,0.5,0,93.24,1,1,58.52,7,0.727751140217518,0.075022470220695,4.27973336451877
"0216018C",243,1809,0,0.5,0.5,0,111.26,1,1,56.34,7,0.727751140217518,0.075022470220695,4.27973336451877
"0216019C",243,1809,0,0.5,0.5,0,96.06,1,1,60.59,7,0.727751140217518,0.075022470220695,4.27973336451877
"0216021C",243,1809,0,0.5,0.5,0,106.43,1,1,45.72,7,0.727751140217518,0.075022470220695,4.27973336451877
"1102012C",60,0,0,1,0,0,112.9,1,0,43.86,2,-0.0847488597824816,-18.114888244065,-0.72026663548123
"1102014C",60,0,0,1,0,0,83.77,1,0,29.67,2,-0.0847488597824816,-18.114888244065,-0.72026663548123
"1102015C",60,0,0,1,0,0,109.67,1,0,64.77,2,-0.0847488597824816,-18.114888244065,-0.72026663548123
"0219003C",244,1875,0,0.5,0.5,0,89.25,1,1,49.11,0,0.727751140217518,14.910736755935,-2.72026663548123
"0219006C",244,1875,0,0.5,0.5,0,134.07,1,1,78.19,0,0.727751140217518,14.910736755935,-2.72026663548123
"0219011C",244,1875,0,0.5,0.5,0,144.67,1,1,100.95,0,0.727751140217518,14.910736755935,-2.72026663548123
"1102022C",60,0,0,1,0,0,158.84,1,0,71.14,2,-0.0847488597824816,-18.114888244065,-0.72026663548123
"1102023C",60,0,0,1,0,0,71.64,1,0,35.94,2,-0.0847488597824816,-18.114888244065,-0.72026663548123
"1102026C",60,0,0,1,0,0,131.62,1,0,42.7,2,-0.0847488597824816,-18.114888244065,-0.72026663548123
"1105002C",61,0,0,1,0,0,164.9,1,0,81.25,1,-0.213425330370717,5.81603087358203,-1.72026663548123
"1105003C",61,0,0,1,0,0,128.47,1,0,67.45,1,-0.213425330370717,5.81603087358203,-1.72026663548123
"1105006C",61,0,0,1,0,0,129.88,1,0,55.43,1,-0.213425330370717,5.81603087358203,-1.72026663548123
"1105007C",61,0,0,1,0,0,124.46,1,0,65.35,1,-0.213425330370717,5.81603087358203,-1.72026663548123
"1105008C",61,0,0,1,0,0,87.83,1,0,58.06,1,-0.213425330370717,5.81603087358203,-1.72026663548123
"1105011C",61,0,0,1,0,0,153.35,1,0,71.61,1,-0.213425330370717,5.81603087358203,-1.72026663548123
"1105012C",61,0,0,1,0,0,138.49,1,0,61.16,1,-0.213425330370717,5.81603087358203,-1.72026663548123
"1105013C",61,0,0,1,0,0,153.03,1,0,62.49,1,-0.213425330370717,5.81603087358203,-1.72026663548123
"1105016C",61,0,0,1,0,0,159.66,1,0,88.87,1,-0.213425330370717,5.81603087358203,-1.72026663548123
"1105017C",61,0,0,1,0,0,155.47,1,0,80.45,1,-0.213425330370717,5.81603087358203,-1.72026663548123
"1105018C",61,0,0,1,0,0,127.05,1,0,55.81,1,-0.213425330370717,5.81603087358203,-1.72026663548123
"1105019C",61,0,0,1,0,0,141.96,1,0,59.75,1,-0.213425330370717,5.81603087358203,-1.72026663548123
"1105021C",61,0,0,1,0,0,134.84,1,0,75.09,1,-0.213425330370717,5.81603087358203,-1.72026663548123
"1105022C",61,0,0,1,0,0,138,1,0,64.01,1,-0.213425330370717,5.81603087358203,-1.72026663548123
"0775019C",1165,1557,0,0.5,0.5,0,130.42,1,1,59.61,15,0.584893997360376,1.19787961307784,12.2797333645188
"1108004C",63,0,0,1,0,0,142.24,1,0,46.28,0,0.0848939973603756,-10.7271203869222,-2.72026663548123
"0776007C",1167,1554,0,0.5,0.5,0,111.45,1,1,65.25,6,0.527751140217518,-0.827263244065023,3.27973336451877
